mc_initial,temperature,humidity,mc_final,drying_time,temp_ave,humidity_ave,mc_decay
34.0,32.0,65.0,13.5,6.58,31.6,61.71428571,3.113924051
30.5,32.0,65.0,13.5,6.58,31.6,61.71428571,2.582278481
32.5,32.5,46.0,13.0,5.8,31.27142857,57.42857143,3.362068966
35.0,32.5,46.0,13.0,5.8,31.27142857,57.42857143,3.793103448
29.0,32.5,46.0,13.5,5.8,31.27142857,57.42857143,2.672413793
33.5,32.5,46.0,13.0,5.8,31.27142857,57.42857143,3.534482759
33.0,32.5,46.0,10.5,5.8,31.27142857,57.42857143,3.879310345
31.5,32.5,46.0,13.0,5.8,31.27142857,57.42857143,3.189655172
32.5,32.5,46.0,12.5,5.8,31.27142857,57.42857143,3.448275862
32.5,32.5,46.0,12.0,5.8,31.27142857,57.42857143,3.534482759
34.0,32.5,46.0,13.0,5.8,31.27142857,57.42857143,3.620689655
30.5,32.5,46.0,13.0,5.8,31.27142857,57.42857143,3.017241379
31.0,32.5,46.0,12.5,5.8,31.27142857,57.42857143,3.189655172
33.5,34.6,47.0,12.5,6.0,31.64285714,59.85714286,3.5
34.0,34.6,47.0,14.0,6.0,31.64285714,59.85714286,3.333333333
33.0,34.6,47.0,13.5,6.0,31.64285714,59.85714286,3.25
33.0,34.6,47.0,12.0,6.0,31.64285714,59.85714286,3.5
35.0,34.6,47.0,13.0,6.0,31.64285714,59.85714286,3.666666667
34.0,34.6,47.0,12.0,6.0,31.64285714,59.85714286,3.666666667
31.5,34.6,47.0,13.0,6.0,31.64285714,59.85714286,3.083333333
33.0,34.6,47.0,12.5,6.0,31.64285714,59.85714286,3.416666667
32.5,34.6,47.0,12.5,6.0,31.64285714,59.85714286,3.333333333
32.0,34.6,47.0,13.5,6.0,31.64285714,59.85714286,3.083333333
34.0,34.6,47.0,13.0,6.0,31.64285714,59.85714286,3.5
32.5,34.6,47.0,13.0,6.0,31.64285714,59.85714286,3.25
32.0,31.0,49.0,12.0,6.48,30.74285714,59.42857143,3.084832905
32.0,31.0,49.0,13.5,6.48,30.74285714,59.42857143,2.853470437
33.0,31.0,49.0,12.0,6.48,30.74285714,59.42857143,3.23907455
32.0,31.0,49.0,13.0,6.48,30.74285714,59.42857143,2.93059126
31.0,31.0,49.0,10.5,6.48,30.74285714,59.42857143,3.161953728
