mc_initial,temperature,humidity,mc_final,drying_time
17,29.5,70,13.5,4.18
17,29.5,70,14,4.18
18,29.5,70,13,4.18
17,29.6,69,14.5,3.23
16.5,29.6,69,15,3.23
17,29.6,69,14,3.23
17.5,29.6,69,14,3.23
17.5,29.6,69,14.5,3.23
18,29.6,69,14,3.23
18,29.6,69,13.5,3.23
16.5,29.6,69,14.5,3.23
16.5,29.6,69,13,3.23
16,29.6,69,14,3.23
17.5,29.6,69,13,3.23
17,29.6,69,13.5,3.25
17,29.6,69,15,3.25
16.5,29.6,69,14,3.25
17,29.6,69,14.5,3.25
17,29.6,69,14,3.25
16.5,29.6,69,13,3.25
17,29.6,69,13,3.25
17.5,29.6,69,13.5,3.25
17,29.6,69,13.5,3.17
17,29.6,69,15.5,3.17
17,29.6,69,14,3.17
17.5,29.6,69,14.5,3.17
16.5,29.6,69,15,3.17
17,29.6,69,14.5,3.17
15.5,29.6,69,13,3.17
17,29.6,69,15,3.17
16.5,29.6,69,14.5,3.17
16,29.6,69,12.5,3.17
16.5,29.6,69,13,3.17
15,31.9,67,14,3
15,31.9,67,13.5,3
16,31.9,67,13.5,3
14.5,31.9,67,14,3
14.5,31.9,67,13,3
15,31.9,67,13,3
17,31.9,67,13.5,3
15.5,31.9,67,12.5,3
15.5,31.9,67,13.5,3
16,31.9,67,14,3
16.5,31.9,67,14,3
15,31.9,67,13.5,2.83
16,31.9,67,13.5,2.83
16,31.9,67,13,2.83
15,31.9,67,13,2.83
15.5,31.9,67,13,2.83
16.5,31.9,67,13,2.83
17,31.9,67,13,2.83
15,31.9,67,12.5,2.83
15.5,31.9,67,13.5,2.83
15.5,30.6,92,12,7
15,30.6,92,12.5,7
15,30.6,92,12,7
15.5,30.6,92,12.5,7
15.5,30.6,92,12,7
17,30.6,92,12.5,7
17,30.6,92,13,7
16,30.6,92,12.5,7
16.5,30.6,92,12.5,7
15.5,29.5,76,12,7
17,29.5,76,12,7
17,29.5,76,12.5,7
15.5,29.5,76,12.5,7
20,29.5,76,12,7
15,29.5,76,12,7
16.5,29.5,76,12.5,7
16,29.5,76,12.5,7
16,29.8,74,12.5,7
17,29.8,74,12.5,7
15.5,29.8,74,12.5,7
16,29.8,74,12,7
18.5,29.8,74,12,7
15,29.8,74,12,7
15.5,32.3,74,13.5,7
16.5,32.3,74,13.5,7
16,32.3,74,13,7
16,32.3,74,13.5,7
18,32.3,74,13.5,7
16.5,32.3,74,13,7
17,32.3,74,13,7
17.5,32.3,74,13,7
15.5,32.3,74,13.5,7
15.5,32.3,74,12.5,7
15.5,32.3,74,12.5,7
16,32.3,74,12.5,7
15.5,32.3,74,13,7
15,29.7,69,13.5,7.03
17,29.7,69,13.5,7.03
15.5,29.7,69,13,7.03
15.5,29.7,69,12.5,7.03
15.5,29.7,69,12,7.03
15.5,29.7,69,12.5,7.03
16.5,29.7,69,13,7.03
16,29.7,69,12.5,7.03
15.5,29.7,69,13,7.03
15.5,29.7,69,13.5,7.03
16.5,29.7,69,12.5,7.03
16,29.7,69,12,7.03
15.5,30,71,12.5,7
17,30,71,12.5,7
18.5,30,71,12.5,7
17,30,71,12.5,7
16.5,30,71,12.5,7
17,30,71,12,7
16,30,71,12.5,7
17,30,71,12.5,7
18,30,71,12.5,7
16.5,30,71,12.5,7
16.5,30,71,13,7
17.5,30,71,13,7
17,30.1,70,13,7
16.5,30.1,70,13.5,7
16.5,30.1,70,13,7
16,30.1,70,13.5,7
15.5,30.1,70,13,7
15.5,30.1,70,12.5,7
16.5,30.1,70,13,7
16,30.1,70,13,7
23,30.1,70,13,7
16,30.1,70,13,7
15.5,30.1,70,13.5,7
18,31.2,68,13,6.63
16,31.2,68,13,6.63
16,31.2,68,13.5,6.63
15,31.2,68,13,6.63
16.5,31.2,68,13,6.63
15.5,31.2,68,13.5,6.63
15.5,31.2,68,13,6.63
17,31.2,68,13,6.63
17.5,31.2,68,13.5,6.63
16.5,31.2,64,13.5,6
17.5,31.2,64,13,6
17,31.2,64,14,6
15.5,31.2,64,12.5,6
18.5,31.2,64,13.5,6
15.5,31.2,64,13.5,6
16,31.2,64,13,6
17,31.2,64,13,6
16,31.2,64,14,6
15.5,31.2,64,14,6
16,31.2,64,13.5,6
16.5,31.1,67,14,6
16.5,31.1,67,13,6
17,31.1,67,13.5,6
16.5,31.1,67,13.5,6
17.5,31.1,67,12.5,6
18,31.1,67,13,6
17,31.1,67,13,6
16,31.1,67,13.5,6
17,31.1,67,12.5,6
15.5,31.1,67,13.5,6
16,30.5,68,13.5,6
16,30.5,68,13,6
16.5,30.5,68,14,6
17,30.5,68,13.5,6
19.5,30.5,68,13.5,6
17.5,30.5,68,13.5,6
16.5,30.5,68,13,6
18,30.5,68,12.5,6
17,30.5,68,14,6
16,30.9,70,13.5,6
16.5,30.9,70,14,6
17,30.9,70,13.5,6
16.5,30.9,70,13.5,6
15,30.9,70,13.5,6
15.5,30.9,70,13.5,6
15.5,30.9,70,12.5,6
18,29,73,12.5,6
19.5,29,73,12,6
16,29,73,11.5,6
17,29,73,12,6
16.5,29,73,12,6
19,29,73,12,6
17,29,73,12.5,6
16,29,73,12,6
17.5,29,73,12,6
19,29,73,12.5,6
18,28.8,73,12,6
18.5,28.8,73,12,6
16.5,28.8,73,12.5,6
17,28.8,73,12.5,6
16.5,28.8,73,12,6
16,28.8,73,12,6
16,28.8,73,12.5,6
17,28.8,73,12,6
17.5,28.8,73,12.5,6
19,28.8,73,12.5,6
16,29.8,74,12,6
15.5,29.8,74,12.5,6
15.5,29.8,74,12,6
16,29.8,74,12.5,6
16.5,29.8,74,12.5,6
16.5,29.8,74,12,6
18,29.8,74,12,6
15.5,28.7,74,11.5,6.37
15,28.7,74,12,6.37
15,28.7,74,11.5,6.37
16.5,28.7,74,10.5,6.37
15.5,28.7,74,10.5,6.37
16.5,28.7,74,10,6.37
16,28.7,74,12,6.37
16,28.7,74,12.5,6.37
16,28.7,74,11,6.37
16.5,28.7,74,12,6.37
16.5,28.7,74,12.5,6.37
16.5,28.7,74,11.5,6.37
17,28.5,75,12.5,6
18,28.5,75,12,6
17.5,28.5,75,12.5,6
17,28.5,75,12,6
15.5,28.5,75,12,6
15.5,28.5,75,11.5,6
15.5,28.5,75,12.5,6
16.5,28.5,75,11,6
15.5,28.5,75,11,6
15.5,28.5,75,10,6
17,28.8,78,12.5,6
16,28.8,78,13,6
16,28.8,78,12,6
16,28.8,78,12.5,6
16.5,28.8,78,11,6
16.5,28.8,78,11.5,6
17,28.8,78,12,6
17,28.8,78,11,6
18.5,28.8,78,11,6
18,28.8,78,12,6
17,28.8,78,10,6
16.5,28.8,78,10.5,6
16.5,30,74,12,6
16,30,74,12,6
16.5,30,74,11.5,6
16,30,74,11.5,6
17,30,74,11.5,6
16.5,30.1,74,11.5,5.866666667
16.5,30.1,74,12,5.866666667
17.5,30.1,74,12,5.866666667
15.5,30.1,74,12,5.866666667
16,30.1,74,11.5,5.866666667
17,30.1,74,12,5.866666667
17,30.1,74,11.5,5.866666667
18,30.1,74,12,5.866666667
18.5,30.1,74,11.5,5.866666667
16.5,30.1,72,12,6
16.5,30.1,72,11.5,6
18,30.1,72,12.5,6
17,30.1,72,11.5,6
17,30.1,72,12.5,6
16,30.1,72,11.5,6
16,30.1,72,12.5,6
17,30.1,72,12,6
16,30.1,72,12,6
16,30,73,12,5.666666667
15.5,30,73,12.5,5.666666667
16.5,30,73,13,5.666666667
17,30,73,12,5.666666667
17,30,73,12.5,5.666666667
18.5,30,73,13,5.666666667
17,30,73,13,5.666666667
16.5,30,73,12.5,5.666666667
16.5,30,73,12,5.666666667
17,30.7,73,13,5.65
16.5,30.7,73,13,5.65
